rank,score,competitorId,url
1,281.7,sor4chi,https://wsh.sor4chi.com/
2,258.4,seiei-n,https://wsh-2023-practice.pages.dev/
3,255.55,a01sa01to,https://systematic-delilah-a01sa01to-755f4379.koyeb.app/
4,219.45,nakamuraitsuki,https://promising-gwenneth-nakamuraitsuki-545d2f94.koyeb.app/
5,206.55,batora9,https://web-speed-hackathon-2023-for-2025.fly.dev/
6,52.05,nomanoma121,https://defeated-dorthy-kouta0121-17276928.koyeb.app/
7,48.35,shigekk,https://thundering-madlen-shigekk-dd5087e8.koyeb.app/
8,46.8,zerozero-0-0,https://ashamed-justine-saitamauniversity-45b260cd.koyeb.app/
8,46.8,hana-rs,https://straight-alyce-rsmaximum-b8c16eea.koyeb.app/
